id	D	no	dance	path	gt_mode	entropy	duration_entropy	onset_entropy	num_keys	rel_num_keys	start_end_key	maj-min	maj-min-first	maj_min_first_abs	event_density	onset_density	downbeat_density	non_downbeat_density	ratio_downbeat_non_downbeat	downbeat_onset_density	non_downbeat_onset_density	ratio_downbeat_non_downbeat_onset	downbeat_strictly_density	non_downbeat_strictly_density	ratio_downbeat_non_downbeat_strictly	interval_downbeat_offbeat	interval_downbeat_offbeat_melody	sixths_count	thirds_count	parallel_sixths	frac_zumpapa	frac_one_three	frac_one_two	downbeat_dur	eigth_notes_frac	Ta_all	TaTa_all	TaTaTa_all	TaTaTi_all	TaTaTigitigi_all	TaTaTimgi_all	TaTaTimgiri_all	TaTaTiti_all	TaTaTriole_all	TaTao_all	TaTi_all	TaTim_all	TaTimgiTa_all	TaTimgiTimgi_all	TaTimgiTiti_all	TaTiti_all	TaTitiTa_all	TaTitiTiti_all	TaTitigiTigitigi_all	TaTrioleTa_all	Tai_all	Taiti_all	TaitiTa_all	TaitiTiti_all	Tao_all	TaoTa_all	TaoTigitigi_all	TaoTimgi_all	TaoTiti_all	TaoTriole_all	Taoa_all	TigimTi_all	TigimTitiTiti_all	TigimgiTim_all	Tigitigi_all	TigitigiTa_all	TigitigiTaTa_all	TigitigiTi_all	TigitigiTigitigi_all	TigitigiTigitigiTigitigi_all	TigitigiTiti_all	TigitigiTitiTiti_all	Timgi_all	TimgiTa_all	TimgiTaTa_all	TimgiTaTigitigi_all	TimgiTaTimgi_all	TimgiTaTiti_all	TimgiTimgiTimgi_all	TimgiTiti_all	TimgiTitiTiti_all	TimgiriTa_all	Titi_all	TitiTa_all	TitiTaTa_all	TitiTaTimgi_all	TitiTaTiti_all	TitiTi_all	TitiTiti_all	TitiTitiTa_all	TitiTitiTigitigi_all	TitiTitiTimgi_all	TitiTitiTiti_all	TitiTitiTitigi_all	TitiTitigiTigitigi_all	TitigiTa_all	TitigiTi_all	TitigiTigitigi_all	TitigiTiti_all	TitigiTitiTigitigi_all	TitigiTitiTiti_all	TitigiTitiTitigi_all	TitigiTitigi_all	TitigiTitigiTitigi_all	TrioleTa_all	TrioleTaTa_all	Ta_left	TaTa_left	TaTaTa_left	TaTaTi_left	TaTaTimgi_left	TaTaTiti_left	TaTao_left	TaTi_left	TaTim_left	TaTimgiTa_left	TaTiti_left	TaTitiTa_left	TaTitiTiti_left	Tai_left	TaitiTa_left	TaitiTiti_left	Tao_left	TaoTa_left	TaoTimgi_left	TaoTiti_left	Taoa_left	Timgi_left	TimgiTa_left	TimgiTaTa_left	TimgiTiti_left	Titi_left	TitiTa_left	TitiTaTa_left	TitiTaTimgi_left	TitiTi_left	TitiTiti_left	TitiTitiTa_left	TitiTitiTiti_left	Ta_right	TaTa_right	TaTaTa_right	TaTaTi_right	TaTaTigitigi_right	TaTaTimgi_right	TaTaTimgiri_right	TaTaTiti_right	TaTaTitigi_right	TaTaTriole_right	TaTaiti_right	TaTano_right	TaTao_right	TaTi_right	TaTimgiTa_right	TaTimgiTimgi_right	TaTimgiTiti_right	TaTiti_right	TaTitiTa_right	TaTitiTi_right	TaTitiTiti_right	TaTitigiTigitigi_right	TaTrioleTa_right	Tai_right	Taiti_right	TaitiTa_right	TaitiTimgi_right	TaitiTiti_right	TaitigiTigitigi_right	Tanogi_right	Tao_right	TaoTa_right	TaoTigitigi_right	TaoTimgi_right	TaoTimgiri_right	TaoTiti_right	TaoTriole_right	Taoa_right	Taono_right	TigimTi_right	TigimTitiTiti_right	Tigimgim_right	Tigitigi_right	TigitigiTa_right	TigitigiTaTa_right	TigitigiTi_right	TigitigiTigitigi_right	TigitigiTigitigiTigitigi_right	TigitigiTiti_right	Timgi_right	TimgiTa_right	TimgiTaTa_right	TimgiTaTigitigi_right	TimgiTaTimgi_right	TimgiTaTiti_right	TimgiTaiti_right	TimgiTi_right	TimgiTimgiTimgi_right	TimgiTiti_right	TimgiTitiTiti_right	Timgiri_right	TimgiriTa_right	TimgiriTiti_right	TinotigiTigitigi_right	Titi_right	TitiTa_right	TitiTaTa_right	TitiTaTi_right	TitiTaTimgi_right	TitiTaTiti_right	TitiTao_right	TitiTi_right	TitiTiti_right	TitiTitiTa_right	TitiTitiTi_right	TitiTitiTimgi_right	TitiTitiTiti_right	TitiTitino_right	TitigiTa_right	TitigiTi_right	TitigiTigitigi_right	TitigiTiti_right	TitigiTitigi_right	Triole_right	nogiTimgi_right	nogiTiti_right	major	minor
1	41	1	menuett	041/D041menuett01a.mscx	major	0.45682338428299996	1.5475575606338314	1.6932019428976903	3	0.16666666666666666	True	0.4285109819795958	0.4436481245171302	0.4436481245171302	3.6851851851851856	1.4629629629629628	3.357142857142857	3.607142857142857	0.9306930693069307	1.2142857142857142	1.5714285714285714	0.7727272727272727	3.142857142857143	2.4285714285714284	1.2941176470588236	2.1875	-2.8125	0.463768115942029	0.2753623188405797	0.2898550724637681	0.05555555555555555	0.0	0.5555555555555556	0.2819940476190476	0.17592592592592593	0.0	0.0625	0.0	0.0	0.0	0.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5625	0.0625	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.0	0.0625	0.0	0.0	0.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8253986304816961	0.38175050596456594
2	41	1	trio	041/D041trio01b.mscx	major	0.5784748238933831	1.1868397680850762	2.0118604654874668	3	0.16666666666666666	True	0.5613872705705701	0.6332022591228437	0.6332022591228437	3.8541666666666665	2.2083333333333335	3.85	4.15	0.927710843373494	2.2	2.425	0.9072164948453609	2.6	1.975	1.3164556962025316	6.2272727272727275	-0.7272727272727273	0.053691275167785234	0.053691275167785234	0.006711409395973154	0.041666666666666664	0.0	0.08333333333333333	0.23385416666666664	0.8194444444444445	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.4375	0.1875	0.125	0.0	0.0	0.0	0.0	0.0625	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1875	0.0625	0.0	0.0	0.0	0.25	0.1875	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.125	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9016006165493813	0.26839835742653756
3	41	2	menuett	041/D041menuett02a.mscx	major	0.5644447611743146	1.4157198135791562	1.5214294381876137	1	0.05555555555555555	True	0.7794102502821466	0.6204628852707261	0.6204628852707261	5.222222222222222	1.333333333333333	4.714285714285714	5.142857142857143	0.9166666666666666	1.0714285714285714	1.3928571428571428	0.7692307692307693	4.642857142857143	3.4642857142857144	1.3402061855670104	2.875	-3.125	0.4838709677419355	0.6451612903225806	0.3387096774193548	0.16666666666666666	0.0	0.1111111111111111	0.3580357142857143	0.05555555555555555	0.0	0.0625	0.1875	0.0	0.0	0.5625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.1875	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4375	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.25	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9323740130484919	0.31191112777776575
4	41	2	trio	041/D041trio02b.mscx	major	0.6127004126509702	0.9470974741477616	2.147050134653719	5	0.3181818181818182	True	0.5765717329119942	0.5900810711112449	0.5900810711112449	5.378787878787878	2.6363636363636362	5.277777777777778	6.138888888888889	0.8597285067873303	2.4444444444444446	2.7777777777777777	0.8800000000000001	3.111111111111111	2.75	1.1313131313131313	-1.0	-0.65	0.14743589743589744	0.2948717948717949	0.09615384615384616	0.0	0.0	0.09090909090909091	0.19560185185185186	0.6818181818181818	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.3125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.625	0.0	0.0	0.0625	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6916296611031754	0.10154858999193055
5	41	3	menuett	041/D041menuett03a.mscx	major	0.5889113478609509	1.5088214361917092	1.7635928514407586	4	0.2222222222222222	False	0.3426599641435103	0.07634740667531947	0.07634740667531947	4.277777777777778	1.574074074074074	3.9285714285714284	4.142857142857143	0.9482758620689654	1.3571428571428572	1.7142857142857142	0.7916666666666667	3.4285714285714284	2.7142857142857144	1.263157894736842	0.9375	-2.75	0.09333333333333334	0.09333333333333334	0.0	0.2777777777777778	0.0	0.1111111111111111	0.25892857142857145	0.18518518518518517	0.0	0.0625	0.0625	0.0	0.0	0.3125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0625	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.3125	0.0	0.375	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0625	0.0	0.0	0.3125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7439392941477825	0.667591887472463
6	41	3	trio	041/D041trio03b.mscx	major	0.5716105417284488	1.3369495760163836	1.7534000203591251	3	0.16666666666666666	True	0.4362807742699575	0.43528169172857756	0.43528169172857756	3.6481481481481484	1.5000000000000002	4.785714285714286	3.5714285714285716	1.3399999999999999	1.7857142857142858	1.4642857142857142	1.2195121951219514	3.2142857142857144	2.6785714285714284	1.2000000000000002	2.75	1.6875	0.0684931506849315	0.6438356164383562	0.0	0.3888888888888889	0.05555555555555555	0.1111111111111111	0.19047619047619047	0.34259259259259256	0.0	0.0625	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.0	0.0	0.25	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.3125	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0625	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.1875	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0625	0.1875	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7619372574156594	0.3266555656870819
7	41	4	menuett	041/D041menuett04a.mscx	minor	0.5989364258894511	1.0982771837948573	1.944785757407172	4	0.2727272727272727	True	-0.3417859577265848	-0.4707339539652922	0.4707339539652922	6.522727272727272	2.0000000000000004	6.777777777777778	6.861111111111111	0.9878542510121457	1.8333333333333333	2.25	0.8148148148148148	4.388888888888889	3.388888888888889	1.2950819672131149	-0.55	-0.35	0.4262295081967213	0.6885245901639344	0.2786885245901639	0.0	0.0	0.09090909090909091	0.28784722222222225	0.6818181818181818	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1875	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9375	0.0625	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23534144568200682	0.706075399647299
8	41	4	trio	041/D041trio04b.mscx	major	0.5757152007497746	1.4279281139192799	1.6193036250130373	3	0.16666666666666666	False	0.5380144913460507	0.3651295613692225	0.3651295613692225	3.0648148148148153	1.5185185185185184	3.2142857142857144	3.1785714285714284	1.0112359550561798	1.0714285714285714	1.75	0.6122448979591837	3.0	2.3214285714285716	1.2923076923076922	-4.125	-0.375	0.125	0.3472222222222222	0.013888888888888888	0.5555555555555556	0.0	0.16666666666666666	0.2857142857142857	0.19444444444444442	0.0	0.0625	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1875	0.625	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.375	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9344478782713459	0.5693183169021234
9	41	5	menuett	041/D041menuett05a.mscx	major	0.5457207730623015	1.4018921597382714	1.4704940055635758	3	0.16666666666666666	True	0.45701636660561645	0.521979171910768	0.521979171910768	3.12962962962963	1.2777777777777777	3.9285714285714284	2.6785714285714284	1.4666666666666668	1.0714285714285714	1.3928571428571428	0.7692307692307693	3.7857142857142856	2.0357142857142856	1.8596491228070176	1.375	-1.75	0.36065573770491804	0.4262295081967213	0.14754098360655737	0.2222222222222222	0.0	0.4444444444444444	0.3663690476190476	0.037037037037037035	0.0	0.0625	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4375	0.25	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0625	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8246755626562162	0.30269639074544813
10	41	5	trio	041/D041trio05b.mscx	major	0.5428986262283768	1.393554840345788	1.896079249153539	2	0.1111111111111111	True	0.5677237668948205	0.5814595920935716	0.5814595920935716	3.388888888888889	2.037037037037037	3.7857142857142856	3.5714285714285716	1.0599999999999998	1.7857142857142858	2.2857142857142856	0.7812500000000001	2.857142857142857	2.0357142857142856	1.4035087719298247	-2.0	1.625	0.0	0.12244897959183673	0.0	0.05555555555555555	0.0	0.2222222222222222	0.3095238095238095	0.6481481481481483	0.0	0.0625	0.0	0.0	0.0	0.125	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.125	0.4375	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1875	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.6875	0.0625	0.0	0.0	0.0	0.0625	0.25	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.3125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9264142550305953	0.3449546629370237
11	41	6	menuett	041/D041menuett06a.mscx	major	0.6011043675639397	1.3508101515086641	2.026734344555394	6	0.3888888888888889	True	0.194548890766142	0.180901406329379	0.180901406329379	6.157407407407408	2.3518518518518516	8.0	5.571428571428571	1.435897435897436	2.0714285714285716	2.4285714285714284	0.8529411764705884	4.571428571428571	3.2142857142857144	1.422222222222222	0.5	0.8125	0.05504587155963303	0.1559633027522936	0.03669724770642202	0.1111111111111111	0.0	0.1111111111111111	0.23102678571428573	0.16666666666666666	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0625	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6758353011269898	0.49493389479761074
