mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3/4	3/4	0						firstMeasure	2
2	2	0	3/4	3/4	0							3
3	3	0	3/4	3/4	0							4
4	4	0	3/4	3/4	0							5
5	5	0	3/4	3/4	0					line		6
6	6	0	3/4	3/4	0							7
7	7	0	3/4	3/4	0							8
8	8	0	3/4	3/4	0							9
9	9	0	3/4	3/4	0							10
10	10	0	3/4	3/4	0						end	1, 11
11	11	0	3/4	3/4	0						start	12
12	12	0	3/4	3/4	0					line		13
13	13	0	3/4	3/4	0							14
14	14	0	3/4	3/4	0							15
15	15	0	3/4	3/4	0							16
16	16	0	3/4	3/4	0							17
17	17	0	3/4	3/4	0							18, 19
18	18	0	3/4	3/4	0	1					end	11
19	18	0	3/4	3/4	0	2		1	end		lastMeasure	-1
